net,length_um
_068_,119.95
net8,78.58
_000_,74.54
_082_,74.16
_090_,74.155
_089_,73.94
net3,57.16
net19,55.94
net11,53.68
net22,46.62
net15,45.88
_091_,45.66
net13,45.42
net28,44.22
net2,39.98
net1,39.12
_060_,38.38
net21,38.32
net18,37.015
net17,36.2
net7,36.16
net4,35.32
_100_,34.36
_064_,34.26
_070_,33.92
net16,33.32
_087_,32.16
net9,30.82
_054_,29.96
_073_,29.28
_049_,29.015
net5,28.06
net6,27.9
net10,27.28
_084_,26.98
_074_,26.455
_069_,24.06
_098_,23.9
_001_,23.62
_072_,23.34
_077_,22.7
_052_,21.38
net14,21.32
_041_,20.915
_055_,20.66
_053_,20
_008_,19.62
_045_,18.94
ALU_Out[1],18.56
_043_,18.54
_057_,18.18
_047_,16.82
_079_,16.47
A[5],16.36
_051_,16.24
opcode[1],15.89
_085_,15.8
A[3],15.31
A[7],15.16
_002_,14.64
_075_,14.22
B[0],14
_042_,13.8
A[6],13.54
_015_,13.52
_040_,12.72
_035_,12.38
_061_,12.38
_025_,12.3
A[0],11.94
_010_,11.68
ALU_Out[0],11.45
net12,11.32
_031_,11.2
_050_,11.06
_076_,11.04
B[1],11.02
B[3],11
B[5],10.99
ALU_Out[7],10.78
_014_,10.68
A[2],10.66
B[2],10.45
_071_,10.38
ALU_Out[5],10.32
B[7],10.08
_046_,10.04
_080_,9.995
CarryOut,9.88
ALU_Out[4],9.86
_093_,9.55
_044_,9.4
_058_,9.3
_062_,8.84
_048_,8.58
_081_,8.4
B[4],8.27
_078_,7.94
net24,7.94
_105_,7.64
_020_,7.56
net27,7.52
_034_,7.18
net25,6.64
_038_,6.58
_039_,6.3
_083_,6.16
_036_,6.06
B[6],5.97
ALU_Out[2],5.87
_027_,5.86
_004_,5.72
_022_,5.71
_059_,5.68
_066_,5.44
_011_,5.38
ALU_Out[6],5.29
A[4],5.29
_063_,5.22
_016_,5.18
opcode[0],4.73
_005_,4.46
_056_,4.46
_067_,4.46
_102_,4.435
_037_,4.34
A[1],4.27
_092_,4.02
_007_,4
_018_,4
_024_,4
_097_,3.98
ALU_Out[3],3.93
opcode[2],3.81
net23,3.68
_065_,3.42
_032_,3.32
_030_,3.1
_103_,2.96
_096_,2.74
_094_,2.64
_095_,2.625
_021_,2.62
_033_,2.52
net20,2.5
net26,2.5
_009_,2.3
_012_,2.16
_017_,2.16
_026_,2.16
_029_,2.16
_088_,2.06
_003_,1.94
_028_,1.94
_006_,1.84
_019_,1.84
_086_,1.84
_099_,1.7
_101_,1.7
_023_,1.26
_013_,0.92
_104_,0.685
